성별,적발횟수,나이,알콜농도,측정일시,관할경찰서
남자,1,29,0.153,2022-07-01 00:00:00,아산경찰서
남자,1,28,0.046,2022-07-01 00:02:00,전주덕진경찰서
남자,1,61,0.047,2022-07-01 00:02:00,서울관악경찰서
여자,1,40,0.185,2022-07-01 00:04:00,부산연제경찰서
남자,1,66,0.139,2022-07-01 00:05:00,서울마포경찰서
남자,1,31,0.214,2022-07-01 00:05:00,대전중부경찰서
남자,1,26,0.136,2022-07-01 00:10:00,안산상록경찰서
남자,1,44,0.084,2022-07-01 00:13:00,부산사상경찰서
여자,1,59,0.184,2022-07-01 00:13:00,군산경찰서
남자,1,23,0.164,2022-07-01 00:13:00,대구북부경찰서
남자,1,33,0.17,2022-07-01 00:15:00,의왕경찰서
남자,1,37,0.144,2022-07-01 00:16:00,광주북부경찰서
남자,1,22,0.123,2022-07-01 00:16:00,대구북부경찰서
남자,1,46,0.174,2022-07-01 00:16:00,서울성북경찰서
여자,1,48,0.17,2022-07-01 00:20:00,부천소사경찰서
여자,1,26,0.057,2022-07-01 00:20:00,수원중부경찰서
남자,1,50,0.137,2022-07-01 00:20:00,서울강북경찰서
남자,1,49,0.086,2022-07-01 00:24:00,서귀포경찰서
여자,1,49,0.111,2022-07-01 00:25:00,분당경찰서
여자,1,35,0.214,2022-07-01 00:25:00,남양주남부경찰서
남자,1,30,0.108,2022-07-01 00:25:00,인천서부경찰서
남자,1,47,0.216,2022-07-01 00:29:00,서울송파경찰서
남자,1,28,0.23,2022-07-01 00:29:00,김포경찰서
남자,1,43,0.121,2022-07-01 00:29:00,군포경찰서
남자,1,64,0.186,2022-07-01 00:30:00,안동경찰서
남자,1,40,0.076,2022-07-01 00:32:00,화성서부경찰서
남자,1,40,0.151,2022-07-01 00:32:00,용인동부경찰서
남자,1,29,0.039,2022-07-01 00:34:00,안양동안경찰서
남자,1,27,0.077,2022-07-01 00:36:00,광명경찰서
남자,1,40,0.173,2022-07-01 00:37:00,서울마포경찰서
남자,1,25,0.065,2022-07-01 00:37:00,울산중부경찰서
남자,1,25,0.148,2022-07-01 00:40:00,평택경찰서
남자,1,32,0.075,2022-07-01 00:41:00,부천원미경찰서
남자,1,31,0.099,2022-07-01 00:41:00,인천서부경찰서
남자,1,30,0.037,2022-07-01 00:41:00,인천서부경찰서
남자,1,39,0.165,2022-07-01 00:44:00,천안서북경찰서
남자,1,27,0.126,2022-07-01 00:45:00,수원중부경찰서
