날짜,시도지역코드,발생건수(건)
2014-01-01,11,247
2014-01-01,26,91
2014-01-01,27,96
2014-01-01,28,83
2014-01-01,29,57
2014-01-01,30,73
2014-01-01,31,36
2014-01-01,41,325
2014-01-01,42,44
2014-01-01,43,73
2014-01-01,44,90
2014-01-01,45,155
2014-01-01,46,101
2014-01-01,47,108
2014-01-01,48,97
2014-01-01,49,57
2014-01-01,99,1734
2014-01-02,11,8811
2014-01-02,26,3258
2014-01-02,27,2886
2014-01-02,28,1888
2014-01-02,29,1135
2014-01-02,30,1437
2014-01-02,31,1032
2014-01-02,41,10135
2014-01-02,42,1475
2014-01-02,43,1371
2014-01-02,44,2017
2014-01-02,45,2161
2014-01-02,46,1663
2014-01-02,47,3113
2014-01-02,48,3140
2014-01-02,49,663
2014-01-02,99,46198
2014-01-03,11,7829
2014-01-03,26,2907
2014-01-03,27,2424
2014-01-03,28,1743
2014-01-03,29,929
2014-01-03,30,1273
2014-01-03,31,848
2014-01-03,41,8831
2014-01-03,42,1196
2014-01-03,43,1203
2014-01-03,44,1779
2014-01-03,45,1915
2014-01-03,46,1472
2014-01-03,47,2614
2014-01-03,48,2860
2014-01-03,49,634
2014-01-03,99,40468
2014-01-04,11,6350
2014-01-04,26,2246
2014-01-04,27,2076
2014-01-04,28,1426
2014-01-04,29,817
2014-01-04,30,1058
2014-01-04,31,691
2014-01-04,41,7399
2014-01-04,42,767
2014-01-04,43,972
2014-01-04,44,1399
2014-01-04,45,1404
2014-01-04,46,1153
2014-01-04,47,2020
2014-01-04,48,2094
2014-01-04,49,446
2014-01-04,99,32325
2014-01-05,11,234
2014-01-05,26,71
2014-01-05,27,60
2014-01-05,28,78
2014-01-05,29,50
2014-01-05,30,37
2014-01-05,31,30
2014-01-05,41,454
2014-01-05,42,17
2014-01-05,43,53
2014-01-05,44,58
2014-01-05,45,55
2014-01-05,46,65
2014-01-05,47,32
2014-01-05,48,55
2014-01-05,49,37
2014-01-05,99,1386
2014-01-06,11,9782
2014-01-06,26,3719
2014-01-06,27,3137
2014-01-06,28,2288
2014-01-06,29,1087
2014-01-06,30,1532
2014-01-06,31,1016
2014-01-06,41,11166
2014-01-06,42,1509
2014-01-06,43,1514
2014-01-06,44,2181
2014-01-06,45,2477
2014-01-06,46,1944
2014-01-06,47,3308
2014-01-06,48,3508
2014-01-06,49,768
2014-01-06,99,50946
2014-01-07,11,7886
2014-01-07,26,2858
2014-01-07,27,2493
2014-01-07,28,1717
2014-01-07,29,963
2014-01-07,30,1239
2014-01-07,31,813
2014-01-07,41,8750
2014-01-07,42,1255
2014-01-07,43,1180
2014-01-07,44,1781
2014-01-07,45,1962
2014-01-07,46,1487
2014-01-07,47,2554
2014-01-07,48,2615
2014-01-07,49,592
2014-01-07,99,40159
2014-01-08,11,7171
2014-01-08,26,2254
2014-01-08,27,2179
2014-01-08,28,1591
2014-01-08,29,882
2014-01-08,30,1029
2014-01-08,31,693
2014-01-08,41,7960
2014-01-08,42,1032
2014-01-08,43,1021
2014-01-08,44,1574
2014-01-08,45,1668
