날짜,시도지역코드,발생건수(건)
2014-01-01,11,715
2014-01-01,26,554
2014-01-01,27,370
2014-01-01,28,437
2014-01-01,29,480
2014-01-01,30,238
2014-01-01,31,144
2014-01-01,41,1460
2014-01-01,42,193
2014-01-01,43,335
2014-01-01,44,420
2014-01-01,45,626
2014-01-01,46,829
2014-01-01,47,582
2014-01-01,48,672
2014-01-01,49,128
2014-01-01,99,8183
2014-01-02,11,8139
2014-01-02,26,3135
2014-01-02,27,2630
2014-01-02,28,2993
2014-01-02,29,1906
2014-01-02,30,1254
2014-01-02,31,1210
2014-01-02,41,11082
2014-01-02,42,1312
2014-01-02,43,1609
2014-01-02,44,2412
2014-01-02,45,2481
2014-01-02,46,2679
2014-01-02,47,2960
2014-01-02,48,3608
2014-01-02,49,505
2014-01-02,99,49933
2014-01-03,11,6997
2014-01-03,26,2798
2014-01-03,27,2133
2014-01-03,28,2623
2014-01-03,29,1564
2014-01-03,30,1114
2014-01-03,31,983
2014-01-03,41,9493
2014-01-03,42,1173
2014-01-03,43,1402
2014-01-03,44,1936
2014-01-03,45,2097
2014-01-03,46,2174
2014-01-03,47,2410
2014-01-03,48,2996
2014-01-03,49,538
2014-01-03,99,42445
2014-01-04,11,6137
2014-01-04,26,2146
2014-01-04,27,1994
2014-01-04,28,2105
2014-01-04,29,1402
2014-01-04,30,989
2014-01-04,31,831
2014-01-04,41,8021
2014-01-04,42,733
2014-01-04,43,1116
2014-01-04,44,1441
2014-01-04,45,1625
2014-01-04,46,1757
2014-01-04,47,1853
2014-01-04,48,2483
2014-01-04,49,330
2014-01-04,99,34976
2014-01-05,11,534
2014-01-05,26,178
2014-01-05,27,214
2014-01-05,28,274
2014-01-05,29,285
2014-01-05,30,109
2014-01-05,31,131
2014-01-05,41,1113
2014-01-05,42,67
2014-01-05,43,136
2014-01-05,44,196
2014-01-05,45,217
2014-01-05,46,352
2014-01-05,47,210
2014-01-05,48,165
2014-01-05,49,35
2014-01-05,99,4222
2014-01-06,11,8992
2014-01-06,26,3320
2014-01-06,27,2647
2014-01-06,28,3244
2014-01-06,29,1982
2014-01-06,30,1365
2014-01-06,31,1226
2014-01-06,41,11405
2014-01-06,42,1474
2014-01-06,43,1631
2014-01-06,44,2488
2014-01-06,45,2743
2014-01-06,46,2764
2014-01-06,47,2967
2014-01-06,48,3791
2014-01-06,49,596
2014-01-06,99,52657
2014-01-07,11,6322
2014-01-07,26,2437
2014-01-07,27,1870
2014-01-07,28,2265
2014-01-07,29,1515
2014-01-07,30,975
2014-01-07,31,888
2014-01-07,41,8223
2014-01-07,42,1016
2014-01-07,43,1294
2014-01-07,44,1760
2014-01-07,45,1803
2014-01-07,46,2040
2014-01-07,47,2178
2014-01-07,48,2632
2014-01-07,49,452
2014-01-07,99,37687
2014-01-08,11,6219
2014-01-08,26,2075
2014-01-08,27,1697
2014-01-08,28,1987
2014-01-08,29,1401
2014-01-08,30,909
2014-01-08,31,771
2014-01-08,41,7734
2014-01-08,42,917
2014-01-08,43,1107
2014-01-08,44,1639
2014-01-08,45,1788
2014-01-08,46,1779
2014-01-08,47,1948
2014-01-08,48,2331
2014-01-08,49,396
2014-01-08,99,34711
2014-01-09,11,5720
2014-01-09,26,2324
2014-01-09,27,1775
2014-01-09,28,1982
2014-01-09,29,1381
2014-01-09,30,874
2014-01-09,31,806
2014-01-09,41,7190
2014-01-09,42,919
2014-01-09,43,1088
2014-01-09,44,1541
2014-01-09,45,1747
2014-01-09,46,1893
2014-01-09,47,1966
2014-01-09,48,2574
2014-01-09,49,390
2014-01-09,99,34184
2014-01-10,11,6600
2014-01-10,26,2473
2014-01-10,27,1843
2014-01-10,28,2199
2014-01-10,29,1455
2014-01-10,30,955
2014-01-10,31,890
2014-01-10,41,8107
2014-01-10,42,1018
2014-01-10,43,1226
2014-01-10,44,1625
2014-01-10,45,1871
2014-01-10,46,1932
2014-01-10,47,1976
2014-01-10,48,2742
2014-01-10,49,473
2014-01-10,99,37398
2014-01-11,11,5941
2014-01-11,26,2080
2014-01-11,27,1888
2014-01-11,28,1976
2014-01-11,29,1369
2014-01-11,30,916
2014-01-11,31,862
2014-01-11,41,7728
2014-01-11,42,719
2014-01-11,43,1028
2014-01-11,44,1462
2014-01-11,45,1487
2014-01-11,46,1638
2014-01-11,47,1834
2014-01-11,48,2454
2014-01-11,49,338
2014-01-11,99,33736
2014-01-12,11,500
2014-01-12,26,147
2014-01-12,27,241
2014-01-12,28,202
2014-01-12,29,272
2014-01-12,30,116
2014-01-12,31,112
2014-01-12,41,1233
2014-01-12,42,73
2014-01-12,43,141
2014-01-12,44,192
2014-01-12,45,234
2014-01-12,46,312
2014-01-12,47,235
2014-01-12,48,150
2014-01-12,49,62
2014-01-12,99,4222
2014-01-13,11,8814
2014-01-13,26,3289
2014-01-13,27,2547
2014-01-13,28,2990
2014-01-13,29,1902
2014-01-13,30,1301
2014-01-13,31,1195
2014-01-13,41,11228
2014-01-13,42,1427
2014-01-13,43,1738
2014-01-13,44,2387
2014-01-13,45,2626
2014-01-13,46,2633
2014-01-13,47,2977
2014-01-13,48,3690
2014-01-13,49,642
2014-01-13,99,51410
2014-01-14,11,6235
2014-01-14,26,2289
2014-01-14,27,1937
2014-01-14,28,2172
2014-01-14,29,1467
2014-01-14,30,942
2014-01-14,31,863
2014-01-14,41,8140
2014-01-14,42,952
2014-01-14,43,1207
2014-01-14,44,1670
2014-01-14,45,1726
2014-01-14,46,2042
2014-01-14,47,2132
2014-01-14,48,2672
2014-01-14,49,482
2014-01-14,99,36935
2014-01-15,11,6350
2014-01-15,26,2167
2014-01-15,27,1784
2014-01-15,28,2115
2014-01-15,29,1489
2014-01-15,30,875
2014-01-15,31,919
2014-01-15,41,8087
2014-01-15,42,1015
2014-01-15,43,1191
2014-01-15,44,1610
