날짜,시도지역코드,발생건수(건)
2014-01-01,11,5992
2014-01-01,26,3158
2014-01-01,27,2190
2014-01-01,28,3426
2014-01-01,29,2635
2014-01-01,30,2861
2014-01-01,31,1381
2014-01-01,41,13646
2014-01-01,42,1101
2014-01-01,43,2322
2014-01-01,44,2993
2014-01-01,45,4076
2014-01-01,46,4657
2014-01-01,47,2574
2014-01-01,48,4107
2014-01-01,49,1506
2014-01-01,99,58653
2014-01-02,11,101309
2014-01-02,26,42779
2014-01-02,27,26764
2014-01-02,28,30532
2014-01-02,29,16256
2014-01-02,30,16587
2014-01-02,31,14698
2014-01-02,41,132576
2014-01-02,42,13424
2014-01-02,43,15083
2014-01-02,44,24382
2014-01-02,45,26312
2014-01-02,46,22508
2014-01-02,47,28448
2014-01-02,48,38446
2014-01-02,49,6458
2014-01-02,99,556796
2014-01-03,11,84210
2014-01-03,26,34625
2014-01-03,27,21412
2014-01-03,28,24679
2014-01-03,29,13442
2014-01-03,30,13881
2014-01-03,31,11461
2014-01-03,41,108773
2014-01-03,42,12025
2014-01-03,43,12854
2014-01-03,44,20018
2014-01-03,45,21055
2014-01-03,46,18588
2014-01-03,47,23295
2014-01-03,48,30544
2014-01-03,49,5477
2014-01-03,99,456507
2014-01-04,11,74899
2014-01-04,26,30187
2014-01-04,27,19766
2014-01-04,28,22015
2014-01-04,29,11922
2014-01-04,30,12874
2014-01-04,31,10087
2014-01-04,41,96287
2014-01-04,42,8694
2014-01-04,43,10720
2014-01-04,44,16246
2014-01-04,45,17109
2014-01-04,46,14790
2014-01-04,47,18148
2014-01-04,48,25101
2014-01-04,49,4593
2014-01-04,99,393597
2014-01-05,11,7695
2014-01-05,26,4285
2014-01-05,27,2382
2014-01-05,28,4172
2014-01-05,29,2439
2014-01-05,30,2827
2014-01-05,31,1990
2014-01-05,41,17600
2014-01-05,42,1278
2014-01-05,43,2536
2014-01-05,44,2997
2014-01-05,45,3258
2014-01-05,46,3716
2014-01-05,47,2547
2014-01-05,48,3975
2014-01-05,49,1600
2014-01-05,99,65322
2014-01-06,11,108504
2014-01-06,26,43042
2014-01-06,27,27321
2014-01-06,28,30936
2014-01-06,29,16736
2014-01-06,30,17361
2014-01-06,31,14367
2014-01-06,41,135506
2014-01-06,42,13810
2014-01-06,43,15588
2014-01-06,44,25264
2014-01-06,45,26709
2014-01-06,46,23092
2014-01-06,47,29052
2014-01-06,48,38457
2014-01-06,49,6928
2014-01-06,99,572911
2014-01-07,11,75304
2014-01-07,26,30753
2014-01-07,27,19125
2014-01-07,28,22394
2014-01-07,29,12112
2014-01-07,30,12489
2014-01-07,31,10363
2014-01-07,41,96185
2014-01-07,42,10396
2014-01-07,43,11819
2014-01-07,44,18334
2014-01-07,45,18444
2014-01-07,46,17282
2014-01-07,47,20665
2014-01-07,48,26987
2014-01-07,49,5297
2014-01-07,99,408131
2014-01-08,11,72880
2014-01-08,26,27554
2014-01-08,27,18393
2014-01-08,28,21241
2014-01-08,29,11151
2014-01-08,30,12146
2014-01-08,31,9329
2014-01-08,41,90880
2014-01-08,42,9416
2014-01-08,43,10948
2014-01-08,44,17091
