날짜,시도지역코드,발생건수(건)
2014-01-01,11,246
2014-01-01,26,138
2014-01-01,27,85
2014-01-01,28,138
2014-01-01,29,81
2014-01-01,30,123
2014-01-01,31,41
2014-01-01,41,481
2014-01-01,42,44
2014-01-01,43,118
2014-01-01,44,136
2014-01-01,45,102
2014-01-01,46,184
2014-01-01,47,181
2014-01-01,48,158
2014-01-01,49,36
2014-01-01,99,2293
2014-01-02,11,10963
2014-01-02,26,4068
2014-01-02,27,3401
2014-01-02,28,3349
2014-01-02,29,1810
2014-01-02,30,1796
2014-01-02,31,1324
2014-01-02,41,13139
2014-01-02,42,1767
2014-01-02,43,1995
2014-01-02,44,2566
2014-01-02,45,2192
2014-01-02,46,2709
2014-01-02,47,3591
2014-01-02,48,4419
2014-01-02,49,631
2014-01-02,99,59738
2014-01-03,11,10113
2014-01-03,26,3610
2014-01-03,27,2933
2014-01-03,28,2978
2014-01-03,29,1571
2014-01-03,30,1654
2014-01-03,31,1137
2014-01-03,41,11571
2014-01-03,42,1765
2014-01-03,43,1765
2014-01-03,44,2218
2014-01-03,45,1822
2014-01-03,46,2235
2014-01-03,47,3116
2014-01-03,48,3799
2014-01-03,49,563
2014-01-03,99,52860
2014-01-04,11,8043
2014-01-04,26,2766
2014-01-04,27,2469
2014-01-04,28,2487
2014-01-04,29,1239
2014-01-04,30,1533
2014-01-04,31,901
2014-01-04,41,9565
2014-01-04,42,1216
2014-01-04,43,1359
2014-01-04,44,1843
2014-01-04,45,1462
2014-01-04,46,1774
2014-01-04,47,2378
2014-01-04,48,3034
2014-01-04,49,388
2014-01-04,99,42472
2014-01-05,11,407
2014-01-05,26,162
2014-01-05,27,52
2014-01-05,28,157
2014-01-05,29,47
2014-01-05,30,133
2014-01-05,31,88
2014-01-05,41,782
2014-01-05,42,64
2014-01-05,43,102
2014-01-05,44,110
2014-01-05,45,66
2014-01-05,46,108
2014-01-05,47,80
2014-01-05,48,153
2014-01-05,49,33
2014-01-05,99,2545
2014-01-06,11,12122
2014-01-06,26,4340
2014-01-06,27,3660
2014-01-06,28,3805
2014-01-06,29,1942
2014-01-06,30,2113
2014-01-06,31,1319
2014-01-06,41,14159
2014-01-06,42,2079
2014-01-06,43,2080
2014-01-06,44,2917
2014-01-06,45,2394
2014-01-06,46,2853
2014-01-06,47,3758
2014-01-06,48,4502
2014-01-06,49,672
2014-01-06,99,64730
2014-01-07,11,9325
2014-01-07,26,3334
2014-01-07,27,2751
2014-01-07,28,2958
2014-01-07,29,1539
2014-01-07,30,1500
2014-01-07,31,1043
2014-01-07,41,11025
2014-01-07,42,1595
2014-01-07,43,1618
2014-01-07,44,2200
2014-01-07,45,1783
2014-01-07,46,2109
2014-01-07,47,2788
2014-01-07,48,3585
2014-01-07,49,509
2014-01-07,99,49676
2014-01-08,11,8190
2014-01-08,26,2554
2014-01-08,27,2427
2014-01-08,28,2553
2014-01-08,29,1318
2014-01-08,30,1400
2014-01-08,31,906
2014-01-08,41,9678
2014-01-08,42,1457
2014-01-08,43,1413
2014-01-08,44,1917
2014-01-08,45,1509
2014-01-08,46,1968
2014-01-08,47,2430
2014-01-08,48,2910
2014-01-08,49,455
2014-01-08,99,43095
2014-01-09,11,7480
2014-01-09,26,2710
2014-01-09,27,2159
2014-01-09,28,2285
2014-01-09,29,1231
2014-01-09,30,1330
2014-01-09,31,898
2014-01-09,41,8834
2014-01-09,42,1236
2014-01-09,43,1321
2014-01-09,44,1809
2014-01-09,45,1535
2014-01-09,46,1802
2014-01-09,47,2442
2014-01-09,48,3046
2014-01-09,49,401
2014-01-09,99,40528
2014-01-10,11,8980
2014-01-10,26,3100
2014-01-10,27,2711
2014-01-10,28,2808
2014-01-10,29,1394
2014-01-10,30,1603
2014-01-10,31,977
2014-01-10,41,10258
2014-01-10,42,1524
2014-01-10,43,1483
2014-01-10,44,2007
2014-01-10,45,1673
2014-01-10,46,2095
2014-01-10,47,2597
2014-01-10,48,3390
2014-01-10,49,467
2014-01-10,99,47079
2014-01-11,11,7787
2014-01-11,26,2590
2014-01-11,27,2398
2014-01-11,28,2437
2014-01-11,29,1291
2014-01-11,30,1439
2014-01-11,31,869
2014-01-11,41,9648
2014-01-11,42,1226
2014-01-11,43,1318
2014-01-11,44,1727
2014-01-11,45,1355
2014-01-11,46,1721
2014-01-11,47,2240
2014-01-11,48,2814
2014-01-11,49,351
2014-01-11,99,41226
2014-01-12,11,351
2014-01-12,26,149
2014-01-12,27,72
2014-01-12,28,132
2014-01-12,29,41
2014-01-12,30,123
2014-01-12,31,69
2014-01-12,41,727
2014-01-12,42,46
2014-01-12,43,130
2014-01-12,44,169
2014-01-12,45,72
2014-01-12,46,105
2014-01-12,47,84
2014-01-12,48,144
2014-01-12,49,40
2014-01-12,99,2459
2014-01-13,11,11502
2014-01-13,26,4277
2014-01-13,27,3481
2014-01-13,28,3573
2014-01-13,29,1853
2014-01-13,30,1934
2014-01-13,31,1373
2014-01-13,41,13889
2014-01-13,42,2003
2014-01-13,43,2101
2014-01-13,44,2719
2014-01-13,45,2265
2014-01-13,46,2804
2014-01-13,47,3652
2014-01-13,48,4489
2014-01-13,49,621
2014-01-13,99,62555
2014-01-14,11,9303
2014-01-14,26,3279
2014-01-14,27,2757
2014-01-14,28,2868
2014-01-14,29,1448
2014-01-14,30,1478
2014-01-14,31,1025
2014-01-14,41,10995
2014-01-14,42,1630
2014-01-14,43,1593
2014-01-14,44,2066
2014-01-14,45,1748
2014-01-14,46,2154
2014-01-14,47,2715
2014-01-14,48,3388
2014-01-14,49,494
2014-01-14,99,48948
2014-01-15,11,8863
2014-01-15,26,3119
2014-01-15,27,2546
2014-01-15,28,2645
2014-01-15,29,1431
2014-01-15,30,1539
2014-01-15,31,968
2014-01-15,41,10521
2014-01-15,42,1446
2014-01-15,43,1452
2014-01-15,44,1978
2014-01-15,45,1569
2014-01-15,46,2105
2014-01-15,47,2609
2014-01-15,48,3468
2014-01-15,49,485
2014-01-15,99,46758
2014-01-16,11,8554
2014-01-16,26,3204
2014-01-16,27,2403
2014-01-16,28,2763
2014-01-16,29,1332
2014-01-16,30,1435
2014-01-16,31,979
2014-01-16,41,10222
2014-01-16,42,1390
2014-01-16,43,1468
2014-01-16,44,1998
2014-01-16,45,1656
2014-01-16,46,2120
2014-01-16,47,2727
2014-01-16,48,3392
2014-01-16,49,461
2014-01-16,99,46116
2014-01-17,11,9462
2014-01-17,26,3439
2014-01-17,27,2769
2014-01-17,28,2917
2014-01-17,29,1469
2014-01-17,30,1572
2014-01-17,31,1100
2014-01-17,41,10997
2014-01-17,42,1663
2014-01-17,43,1578
2014-01-17,44,2167
2014-01-17,45,1724
2014-01-17,46,2233
2014-01-17,47,2951
2014-01-17,48,3721
2014-01-17,49,520
2014-01-17,99,50294
2014-01-18,11,7706
2014-01-18,26,2603
2014-01-18,27,2456
2014-01-18,28,2448
2014-01-18,29,1280
2014-01-18,30,1443
2014-01-18,31,896
2014-01-18,41,9555
2014-01-18,42,1156
2014-01-18,43,1355
2014-01-18,44,1773
2014-01-18,45,1377
2014-01-18,46,1767
2014-01-18,47,2367
2014-01-18,48,3057
2014-01-18,49,350
2014-01-18,99,41609
2014-01-19,11,330
2014-01-19,26,138
2014-01-19,27,66
2014-01-19,28,162
2014-01-19,29,43
2014-01-19,30,130
2014-01-19,31,66
2014-01-19,41,879
2014-01-19,42,60
2014-01-19,43,120
2014-01-19,44,158
2014-01-19,45,69
2014-01-19,46,115
2014-01-19,47,92
2014-01-19,48,139
2014-01-19,49,35
2014-01-19,99,2603
2014-01-20,11,10727
2014-01-20,26,4534
2014-01-20,27,3815
2014-01-20,28,3274
2014-01-20,29,1885
2014-01-20,30,1957
2014-01-20,31,1376
2014-01-20,41,12716
2014-01-20,42,1872
2014-01-20,43,1895
2014-01-20,44,2563
2014-01-20,45,2310
2014-01-20,46,2915
2014-01-20,47,3588
2014-01-20,48,4660
2014-01-20,49,647
2014-01-20,99,60743
2014-01-21,11,8891
2014-01-21,26,3374
2014-01-21,27,2725
2014-01-21,28,2605
2014-01-21,29,1262
2014-01-21,30,1450
2014-01-21,31,1033
2014-01-21,41,10439
2014-01-21,42,1367
2014-01-21,43,1468
2014-01-21,44,1814
2014-01-21,45,1474
2014-01-21,46,2006
2014-01-21,47,2786
2014-01-21,48,3658
2014-01-21,49,475
2014-01-21,99,46839
2014-01-22,11,8576
2014-01-22,26,3217
2014-01-22,27,2605
2014-01-22,28,2668
2014-01-22,29,1383
2014-01-22,30,1487
2014-01-22,31,1024
2014-01-22,41,10357
2014-01-22,42,1378
2014-01-22,43,1526
2014-01-22,44,2059
2014-01-22,45,1635
2014-01-22,46,2242
2014-01-22,47,2749
2014-01-22,48,3538
2014-01-22,49,496
2014-01-22,99,46955
2014-01-23,11,8754
2014-01-23,26,3196
2014-01-23,27,2454
2014-01-23,28,2687
2014-01-23,29,1393
2014-01-23,30,1517
2014-01-23,31,1011
2014-01-23,41,10343
2014-01-23,42,1411
2014-01-23,43,1495
2014-01-23,44,2018
2014-01-23,45,1691
2014-01-23,46,2066
2014-01-23,47,2823
2014-01-23,48,3428
2014-01-23,49,476
2014-01-23,99,46775
2014-01-24,11,9915
2014-01-24,26,3539
2014-01-24,27,2893
2014-01-24,28,2956
2014-01-24,29,1509
2014-01-24,30,1725
2014-01-24,31,1105
2014-01-24,41,11497
2014-01-24,42,1724
2014-01-24,43,1707
2014-01-24,44,2268
2014-01-24,45,1874
2014-01-24,46,2276
2014-01-24,47,3022
2014-01-24,48,3826
2014-01-24,49,535
2014-01-24,99,52387
2014-01-25,11,7975
2014-01-25,26,2779
2014-01-25,27,2494
2014-01-25,28,2385
2014-01-25,29,1267
2014-01-25,30,1495
2014-01-25,31,920
2014-01-25,41,9516
2014-01-25,42,1259
2014-01-25,43,1377
2014-01-25,44,1917
2014-01-25,45,1442
2014-01-25,46,1828
2014-01-25,47,2378
2014-01-25,48,3007
2014-01-25,49,396
2014-01-25,99,42451
2014-01-26,11,397
2014-01-26,26,148
2014-01-26,27,67
2014-01-26,28,162
2014-01-26,29,54
2014-01-26,30,112
2014-01-26,31,92
2014-01-26,41,797
2014-01-26,42,39
2014-01-26,43,108
2014-01-26,44,134
2014-01-26,45,69
2014-01-26,46,127
2014-01-26,47,113
2014-01-26,48,142
2014-01-26,49,44
2014-01-26,99,2607
2014-01-27,11,12655
2014-01-27,26,4768
2014-01-27,27,3962
2014-01-27,28,3971
2014-01-27,29,1921
2014-01-27,30,2164
2014-01-27,31,1463
2014-01-27,41,15118
2014-01-27,42,2298
2014-01-27,43,2304
2014-01-27,44,3076
2014-01-27,45,2518
2014-01-27,46,3045
2014-01-27,47,4024
2014-01-27,48,5047
2014-01-27,49,657
2014-01-27,99,69011
2014-01-28,11,10565
2014-01-28,26,3885
2014-01-28,27,3236
2014-01-28,28,3336
2014-01-28,29,1631
2014-01-28,30,1893
2014-01-28,31,1211
2014-01-28,41,12608
2014-01-28,42,1986
2014-01-28,43,1871
2014-01-28,44,2530
2014-01-28,45,1999
2014-01-28,46,2511
2014-01-28,47,3341
2014-01-28,48,4234
2014-01-28,49,582
2014-01-28,99,57441
2014-01-29,11,13135
2014-01-29,26,4679
2014-01-29,27,3796
2014-01-29,28,4087
2014-01-29,29,1976
2014-01-29,30,2210
2014-01-29,31,1538
2014-01-29,41,15328
2014-01-29,42,2142
2014-01-29,43,2072
2014-01-29,44,2922
2014-01-29,45,2353
2014-01-29,46,2896
2014-01-29,47,3712
2014-01-29,48,5030
2014-01-29,49,674
2014-01-29,99,68572
2014-01-30,11,657
2014-01-30,26,368
2014-01-30,27,472
2014-01-30,28,259
2014-01-30,29,221
2014-01-30,30,253
2014-01-30,31,93
2014-01-30,41,1052
2014-01-30,42,207
2014-01-30,43,303
2014-01-30,44,376
2014-01-30,45,257
2014-01-30,46,559
2014-01-30,47,445
2014-01-30,48,513
2014-01-30,49,91
2014-01-30,99,6128
2014-01-31,11,127
2014-01-31,26,31
2014-01-31,27,22
2014-01-31,28,54
2014-01-31,29,24
2014-01-31,30,80
2014-01-31,31,14
2014-01-31,41,147
2014-01-31,42,18
2014-01-31,43,86
2014-01-31,44,41
2014-01-31,45,39
2014-01-31,46,49
2014-01-31,47,36
2014-01-31,48,50
2014-01-31,49,9
2014-01-31,99,827
2014-02-01,11,430
2014-02-01,26,128
2014-02-01,27,123
2014-02-01,28,190
2014-02-01,29,73
2014-02-01,30,192
2014-02-01,31,55
2014-02-01,41,796
2014-02-01,42,74
2014-02-01,43,158
2014-02-01,44,228
2014-02-01,45,148
2014-02-01,46,221
2014-02-01,47,158
2014-02-01,48,210
2014-02-01,49,39
2014-02-01,99,3223
2014-02-02,11,456
2014-02-02,26,178
2014-02-02,27,84
2014-02-02,28,214
2014-02-02,29,46
2014-02-02,30,138
2014-02-02,31,87
2014-02-02,41,882
2014-02-02,42,60
2014-02-02,43,159
2014-02-02,44,194
2014-02-02,45,76
2014-02-02,46,139
2014-02-02,47,135
2014-02-02,48,152
2014-02-02,49,24
2014-02-02,99,3025
2014-02-03,11,15997
2014-02-03,26,5844
2014-02-03,27,4808
2014-02-03,28,4823
2014-02-03,29,2616
2014-02-03,30,2740
2014-02-03,31,1833
2014-02-03,41,19069
2014-02-03,42,2704
2014-02-03,43,2777
2014-02-03,44,3754
2014-02-03,45,2961
2014-02-03,46,3599
2014-02-03,47,4774
2014-02-03,48,6150
2014-02-03,49,808
2014-02-03,99,85284
2014-02-04,11,9616
2014-02-04,26,3460
2014-02-04,27,2853
2014-02-04,28,2980
2014-02-04,29,1491
2014-02-04,30,1605
2014-02-04,31,1100
2014-02-04,41,11498
2014-02-04,42,1725
2014-02-04,43,1567
2014-02-04,44,2190
2014-02-04,45,1730
2014-02-04,46,2249
2014-02-04,47,2958
2014-02-04,48,3610
2014-02-04,49,475
2014-02-04,99,51117
2014-02-05,11,9493
2014-02-05,26,3264
2014-02-05,27,2702
2014-02-05,28,2872
2014-02-05,29,1368
2014-02-05,30,1674
